ID,LocTime,LocFrequency,Cycles,SNR,TrialID,SignalSD,AtomSD,SLTMaskSBMID,SLTMaskSBMMatchErr,SLTMaskSBMTimeErr,SLTMaskSBMFreqErr,CWTMaskSBMID,CWTMaskSBMMatchErr,CWTMaskSBMTimeErr,CWTMaskSBMFreqErr,STFTMaskSBMID,STFTMaskSBMMatchErr,STFTMaskSBMTimeErr,STFTMaskSBMFreqErr,SLTMaskPFID,SLTMaskPFMatchErr,SLTMaskPFTimeErr,SLTMaskPFFreqErr,CWTMaskPFID,CWTMaskPFMatchErr,CWTMaskPFTimeErr,CWTMaskPFFreqErr,STFTMaskPFID,STFTMaskPFMatchErr,STFTMaskPFTimeErr,STFTMaskPFFreqErr,SLTBoxSBMID,SLTBoxSBMMatchErr,SLTBoxSBMTimeErr,SLTBoxSBMFreqErr,CWTBoxSBMID,CWTBoxSBMMatchErr,CWTBoxSBMTimeErr,CWTBoxSBMFreqErr,STFTBoxSBMID,STFTBoxSBMMatchErr,STFTBoxSBMTimeErr,STFTBoxSBMFreqErr,SLTBoxPFID,SLTBoxPFMatchErr,SLTBoxPFTimeErr,SLTBoxPFFreqErr,CWTBoxPFID,CWTBoxPFMatchErr,CWTBoxPFTimeErr,CWTBoxPFFreqErr,STFTBoxPFID,STFTBoxPFMatchErr,STFTBoxPFTimeErr,STFTBoxPFFreqErr,SLTBoxOEID,SLTBoxOEMatchErr,SLTBoxOETimeErr,SLTBoxOEFreqErr,CWTBoxOEID,CWTBoxOEMatchErr,CWTBoxOETimeErr,CWTBoxOEFreqErr,STFTBoxOEID,STFTBoxOEMatchErr,STFTBoxOETimeErr,STFTBoxOEFreqErr
1,1.065566,74,10,0.1,25,0.62685233,0.19822809,59,0.5556816,0.045898438,0,31,0.4251337,0.013671875,0,21,0.6496098,0.041,0.4964539,28,0.89837813,0.045898438,0,21,0.8120609,0.013671875,0,0,1,1.2950001,43.687943,59,0.592134,0.045898438,0,31,0.3931718,0.013671875,0,21,0.7172086,0.041,0.4964539,28,0.8812652,0.045898438,0,21,0.7014563,0.013671875,0,0,1,1.2950001,43.687943,14,0.66194904,0.001953125,15.886525,6,0.67843354,0.0009765625,13.900709,19,0.6473193,0.002,15.390071
2,0.5266904,38,10,0.1,58,0.5598979,0.17705525,12,0.71037143,0.07128906,0.4964539,4,0.5309955,0.055664062,0.4964539,8,0.45179176,0.13800001,2.4822695,4,0.6154294,0.15917969,0.9929078,1,0.8141865,0.24511719,11.41844,1,0.7530239,0.187,1.4893618,12,0.6873473,0.07128906,0.4964539,4,0.4505592,0.055664062,0.4964539,8,0.59068173,0.13800001,2.4822695,4,0.45679563,0.15917969,0.9929078,1,0.78254914,0.24511719,11.41844,1,0.7791678,0.187,1.4893618,3,0.708828,0.15917969,0.9929078,10,0.36348408,0.052734375,0.9929078,10,0.44660193,0.042000003,1.4893618
3,0.9759613,82,10,0.1,38,0.5983784,0.18922387,54,0.6065389,0.0029296875,1.9858156,32,0.4773004,0.0009765625,2.9787235,27,0.43838602,0,1.9858156,31,0.7445451,0.0029296875,1.9858156,19,0.7313403,0.0009765625,2.9787235,15,0.9076725,0,1.9858156,54,0.35131258,0.0029296875,1.9858156,32,0.49914968,0.0009765625,2.9787235,27,0.49141765,0,1.9858156,31,0.7281301,0.0029296875,1.9858156,19,0.6480938,0.0009765625,2.9787235,15,0.9071111,0,1.9858156,1,0.4574468,0.00390625,2.9787235,1,0.27012056,0,7.446809,1,0.5068567,0.001,2.9787235
4,0.42443085,89,10,0.1,10,0.5678009,0.1795544,39,0.63903964,0.022460938,5.957447,21,0.4991235,0.01953125,6.9503546,23,0.5396544,0.034,7.9432626,22,0.6744098,0.02734375,12.907802,15,0.6634678,0.01953125,6.9503546,15,0.99308264,0.034,7.9432626,39,0.62952775,0.022460938,5.957447,21,0.5207827,0.01953125,6.9503546,23,0.66049874,0.034,7.9432626,22,0.5064737,0.02734375,12.907802,15,0.48204762,0.01953125,6.9503546,15,0.9927135,0.034,7.9432626,1,0.40799564,0.00390625,3.4751773,1,0.2460581,0.005859375,6.9503546,2,0.1592747,0.017,3.4751773
5,0.67948323,37,10,0.1,63,0.56045926,0.17723277,5,0.50985914,0.00390625,0.4964539,3,0.33152086,0.0146484375,0.9929078,4,0.36185318,0.022000002,0.4964539,2,0.45730776,0.00390625,0.4964539,1,0.64869094,0.0146484375,0.9929078,1,0.7099017,0.022000002,0.4964539,5,0.44740576,0.00390625,0.4964539,3,0.35055935,0.0146484375,0.9929078,4,0.28474194,0.022000002,0.4964539,2,0.4209243,0.00390625,0.4964539,1,0.68175673,0.0146484375,0.9929078,1,0.74799305,0.022000002,0.4964539,1,0.40508384,0.009765625,0.9929078,1,0.65162575,0.016601562,2.4822695,2,0.5969388,0.022000002,0.9929078
6,0.39703295,69,10,0.1,45,0.6182663,0.19551297,54,0.914932,0.06640625,4.4680853,30,0.8976378,0.07324219,11.914894,19,0.939361,0.37500003,0.9929078,12,0.9947396,0.030273438,14.893618,4,0.9249198,0.030273438,13.404256,1,0.9933674,0.26500002,26.808512,54,0.8610866,0.06640625,4.4680853,30,0.794367,0.07324219,11.914894,19,0.9057572,0.37500003,0.9929078,12,0.95784813,0.030273438,14.893618,4,0.89054656,0.030273438,13.404256,1,0.9826708,0.26500002,26.808512,9,0.9674461,0.08886719,15.886525,2,0.8693699,0.029296875,12.907802,2,0.9277326,0.026,13.404256
7,0.08229714,36,10,0.1,78,0.58065194,0.18361826,4,0.7850123,0.001953125,2.9787235,2,0.51191926,0.013671875,12.411347,2,0.28892922,0.004,0.4964539,2,0.88548386,0.15136719,2.9787235,3,0.91446465,0.00390625,0,5,0.6719599,0.289,5.957447,4,0.76124233,0.001953125,2.9787235,2,0.60570174,0.013671875,12.411347,2,0.23574144,0.004,0.4964539,2,0.83889204,0.15136719,2.9787235,3,0.89195865,0.00390625,0,5,0.54569054,0.289,5.957447,11,0.73420125,0.15136719,2.9787235,19,0.57404137,0.01953125,3.4751773,18,0.6898581,0.026,3.9716313
8,0.8340101,39,10,0.1,26,0.5825783,0.18422744,16,0.7557373,0.044921875,5.460993,9,0.70958126,0.051757812,5.460993,10,0.7724102,0.056,5.460993,6,0.8428349,0.022460938,8.439716,6,0.7906108,0.051757812,5.460993,6,0.81991285,0.056,5.460993,16,0.72248703,0.044921875,5.460993,9,0.6475394,0.051757812,5.460993,10,0.7324553,0.056,5.460993,6,0.7448267,0.022460938,8.439716,6,0.7306485,0.051757812,5.460993,6,0.74852467,0.056,5.460993,8,0.84752226,0.041015625,6.9503546,8,0.7852073,0.051757812,5.957447,6,0.8379435,0.054,5.957447
9,0.14332533,59,10,0.1,13,0.60905623,0.1926005,33,0.55989635,0.0087890625,0.9929078,12,0.49835563,0.00390625,3.9716313,14,0.4262213,0.007,2.9787235,16,0.90453804,0.0087890625,0.9929078,2,0.8062484,0.05859375,19.361702,6,0.8680025,0.007,2.9787235,33,0.4915254,0.0087890625,0.9929078,12,0.6574055,0.00390625,3.9716313,14,0.5141976,0.007,2.9787235,12,0.8766859,0.013671875,6.9503546,2,0.6789573,0.05859375,19.361702,6,0.82562685,0.007,2.9787235,12,0.72719145,0.0087890625,0.9929078,9,0.54209745,0.0029296875,2.4822695,12,0.6952133,0.010000001,0.9929078
10,0.9388372,46,10,0.1,24,0.61503947,0.19449255,13,0.86098653,0.020507812,4.964539,5,0.74708223,0.017578125,7.9432626,3,0.85350835,0.231,1.4893618,4,0.9537065,0.4716797,6.9503546,4,0.9652949,0.017578125,7.9432626,4,0.9581548,0.16000001,7.446809,16,0.774907,0.13378906,3.4751773,5,0.66265285,0.017578125,7.9432626,3,0.76365364,0.231,1.4893618,3,0.8296052,0.15625,7.9432626,4,0.9506463,0.017578125,7.9432626,4,0.8031658,0.16000001,7.446809,18,0.80868024,0.16601562,4.4680853,0,1,1.1386719,16.382978,2,0.9966269,0.16000001,7.446809
