ID,LocTime,LocFrequency,Cycles,SNR,TrialID,SignalSD,AtomSD,SLTMaskSBMID,SLTMaskSBMMatchErr,SLTMaskSBMTimeErr,SLTMaskSBMFreqErr,CWTMaskSBMID,CWTMaskSBMMatchErr,CWTMaskSBMTimeErr,CWTMaskSBMFreqErr,STFTMaskSBMID,STFTMaskSBMMatchErr,STFTMaskSBMTimeErr,STFTMaskSBMFreqErr,SLTMaskPFID,SLTMaskPFMatchErr,SLTMaskPFTimeErr,SLTMaskPFFreqErr,CWTMaskPFID,CWTMaskPFMatchErr,CWTMaskPFTimeErr,CWTMaskPFFreqErr,STFTMaskPFID,STFTMaskPFMatchErr,STFTMaskPFTimeErr,STFTMaskPFFreqErr,SLTBoxSBMID,SLTBoxSBMMatchErr,SLTBoxSBMTimeErr,SLTBoxSBMFreqErr,CWTBoxSBMID,CWTBoxSBMMatchErr,CWTBoxSBMTimeErr,CWTBoxSBMFreqErr,STFTBoxSBMID,STFTBoxSBMMatchErr,STFTBoxSBMTimeErr,STFTBoxSBMFreqErr,SLTBoxPFID,SLTBoxPFMatchErr,SLTBoxPFTimeErr,SLTBoxPFFreqErr,CWTBoxPFID,CWTBoxPFMatchErr,CWTBoxPFTimeErr,CWTBoxPFFreqErr,STFTBoxPFID,STFTBoxPFMatchErr,STFTBoxPFTimeErr,STFTBoxPFFreqErr,SLTBoxOEID,SLTBoxOEMatchErr,SLTBoxOETimeErr,SLTBoxOEFreqErr,CWTBoxOEID,CWTBoxOEMatchErr,CWTBoxOETimeErr,CWTBoxOEFreqErr,STFTBoxOEID,STFTBoxOEMatchErr,STFTBoxOETimeErr,STFTBoxOEFreqErr
1,1.065566,74,10,0.1,25,0.96777326,0.30603677,34,0.63459605,0.0078125,6.453901,19,0.6691297,0.016601562,6.9503546,14,0.8576132,0.058000002,5.460993,0,1,1.2646484,44.1844,16,0.9620156,0.026367188,11.914894,0,1,1.2950001,43.687943,34,0.5006695,0.0078125,6.453901,19,0.6249362,0.016601562,6.9503546,14,0.80263853,0.058000002,5.460993,26,0.9866476,0.06640625,10.921986,16,0.93013763,0.026367188,11.914894,0,1,1.2950001,43.687943,12,0.9667978,0.06738281,11.41844,0,1,1.2646484,44.1844,17,0.9436809,0.078,11.914894
2,0.5266904,38,10,0.1,58,1.0467395,0.33100808,13,0.8435794,0.061523438,6.9503546,10,0.67184913,0.0625,4.4680853,9,0.73578835,0.059000004,4.964539,7,0.8580041,0.061523438,6.9503546,4,0.7654991,0.0625,4.4680853,5,0.7711594,0.059000004,4.964539,13,0.77899265,0.061523438,6.9503546,10,0.60848117,0.0625,4.4680853,9,0.5784886,0.059000004,4.964539,7,0.7928654,0.061523438,6.9503546,4,0.66167927,0.0625,4.4680853,5,0.74245214,0.059000004,4.964539,9,0.8109714,0.061523438,7.446809,8,0.75130224,0.060546875,4.964539,7,0.8011644,0.056,5.957447
3,0.9759613,82,10,0.1,38,1.0526357,0.33287263,51,0.4026879,0.0048828125,0.9929078,29,0.43952006,0.0087890625,3.4751773,24,0.5845114,0.028,3.4751773,24,0.5744379,0.03125,2.9787235,18,0.53257006,1.1757812,51.631207,18,0.86875916,0.028,3.4751773,51,0.22787195,0.0048828125,0.9929078,29,0.49605912,0.0087890625,3.4751773,24,0.6534494,0.028,3.4751773,24,0.50237346,0.03125,2.9787235,18,0.4567585,1.1757812,51.631207,18,0.8564445,0.028,3.4751773,1,0.55927145,0.0009765625,8.936171,1,0.5485437,0.005859375,7.446809,3,0.63080585,0.029000001,4.4680853
4,0.42443085,89,10,0.1,10,0.99838847,0.31571814,54,0.60317457,0.0009765625,5.460993,35,0.5011866,0.005859375,2.9787235,28,0.55448806,0.001,5.957447,27,0.9142983,0.62402344,59.078014,19,0.95156485,0.005859375,2.9787235,0,1,0.63900006,58.581562,54,0.46208364,0.0009765625,5.460993,35,0.5163585,0.005859375,2.9787235,28,0.5380582,0.001,5.957447,27,0.9056429,0.62402344,59.078014,19,0.94422656,0.005859375,2.9787235,12,0.98920345,0.105000004,14.397163,1,0.5466762,0.0009765625,7.446809,15,0.60465115,0.037109375,8.936171,1,0.62110174,0.0050000004,8.439716
5,0.67948323,37,10,0.1,63,1.1661079,0.3687557,6,0.86116207,0.053710938,0.9929078,6,0.65885156,0.057617188,4.4680853,4,0.69852304,0.057000004,4.964539,4,0.85111934,0.053710938,0.9929078,3,0.7852402,0.057617188,4.4680853,4,0.7364925,0.057000004,4.964539,5,0.8074066,0.1796875,1.9858156,6,0.65495884,0.057617188,4.4680853,4,0.69469833,0.057000004,4.964539,4,0.8013897,0.053710938,0.9929078,3,0.74851936,0.057617188,4.4680853,4,0.7470621,0.057000004,4.964539,9,0.70094585,0.1953125,8.936171,2,0.681342,0.060546875,5.460993,3,0.75906736,0.062000003,5.957447
6,0.39703295,69,10,0.1,45,1.1503814,0.36378255,48,0.80634,0.022460938,5.957447,9,0.869689,0.029296875,8.936171,5,0.8455679,0.002,4.4680853,21,0.79186416,0.022460938,5.957447,8,0.8551395,0.029296875,8.936171,13,0.86970234,0.002,4.4680853,48,0.7541101,0.022460938,5.957447,21,0.8626526,0.060546875,4.4680853,5,0.9057895,0.002,4.4680853,21,0.69536424,0.022460938,5.957447,8,0.75320816,0.029296875,8.936171,13,0.79643524,0.002,4.4680853,7,0.73024917,0.022460938,5.957447,8,0.62988114,0.029296875,10.425532,9,0.78701615,0.002,4.4680853
7,0.08229714,36,10,0.1,78,1.296986,0.410143,3,0.5088079,0.00390625,0.9929078,2,0.23868155,0.0029296875,0,2,0.26785082,0.002,0.4964539,1,0.75678414,0.00390625,0.9929078,1,0.8434136,0.0029296875,0,1,0.58317065,0.002,0.4964539,3,0.5022646,0.00390625,0.9929078,2,0.097656846,0.0029296875,0,2,0.37467533,0.002,0.4964539,1,0.68621886,0.00390625,0.9929078,1,0.8263621,0.0029296875,0,1,0.4518054,0.002,0.4964539,11,0.5001186,0.001953125,1.4893618,10,0.5104895,0.0068359375,1.9858156,13,0.4697621,0.011000001,2.9787235
8,0.8340101,39,10,0.1,26,1.1081737,0.3504353,8,0.6887812,0.051757812,4.4680853,11,0.70044506,0.034179688,4.964539,3,0.6888618,0.048,4.964539,9,0.92142326,0.033203125,4.4680853,6,0.9159828,0.034179688,4.964539,8,0.8695737,0.053000003,4.4680853,8,0.62051976,0.051757812,4.4680853,11,0.6592835,0.034179688,4.964539,3,0.5299871,0.048,4.964539,9,0.89042765,0.033203125,4.4680853,6,0.9044499,0.034179688,4.964539,8,0.8029115,0.053000003,4.4680853,22,0.83061534,0.033203125,4.4680853,0,1,1.0332031,8.936171,22,0.7593903,0.040000003,5.957447
9,0.14332533,59,10,0.1,13,1.0669897,0.33741176,31,0.5394057,0.048828125,2.4822695,18,0.6094587,0.028320312,2.9787235,21,0.44851,0.035,0.4964539,9,0.89318025,0.13183594,11.914894,10,0.8622862,0.059570312,6.9503546,2,0.9422461,0.15900001,22.340425,31,0.59346294,0.048828125,2.4822695,18,0.6999866,0.028320312,2.9787235,21,0.3095919,0.035,0.4964539,9,0.8748846,0.13183594,11.914894,10,0.6593406,0.059570312,6.9503546,2,0.9088025,0.15900001,22.340425,2,0.7860389,0.14160156,3.9716313,15,0.7679049,0.028320312,2.9787235,10,0.70549035,0.031000001,0
10,0.9388372,46,10,0.1,24,1.0294788,0.32554978,13,0.73522794,0.030273438,2.4822695,10,0.5954647,0.033203125,0.9929078,11,0.5835248,0.028,0.4964539,7,0.5310372,0.024414062,1.9858156,5,0.67353225,0.033203125,0.9929078,8,0.5136336,0.056,2.9787235,18,0.66948384,0.040039062,4.4680853,10,0.6004343,0.033203125,0.9929078,11,0.6378413,0.028,0.4964539,7,0.28924668,0.024414062,1.9858156,5,0.6397239,0.033203125,0.9929078,8,0.22017139,0.056,2.9787235,5,0.33633018,0.0390625,3.9716313,5,0.7503067,0.03515625,1.9858156,4,0.74018234,0.033,2.9787235
