ID,LocTime,LocFrequency,Cycles,SNR,TrialID,SignalSD,AtomSD,SLTMaskSBMID,SLTMaskSBMMatchErr,SLTMaskSBMTimeErr,SLTMaskSBMFreqErr,CWTMaskSBMID,CWTMaskSBMMatchErr,CWTMaskSBMTimeErr,CWTMaskSBMFreqErr,STFTMaskSBMID,STFTMaskSBMMatchErr,STFTMaskSBMTimeErr,STFTMaskSBMFreqErr,SLTMaskPFID,SLTMaskPFMatchErr,SLTMaskPFTimeErr,SLTMaskPFFreqErr,CWTMaskPFID,CWTMaskPFMatchErr,CWTMaskPFTimeErr,CWTMaskPFFreqErr,STFTMaskPFID,STFTMaskPFMatchErr,STFTMaskPFTimeErr,STFTMaskPFFreqErr,SLTBoxSBMID,SLTBoxSBMMatchErr,SLTBoxSBMTimeErr,SLTBoxSBMFreqErr,CWTBoxSBMID,CWTBoxSBMMatchErr,CWTBoxSBMTimeErr,CWTBoxSBMFreqErr,STFTBoxSBMID,STFTBoxSBMMatchErr,STFTBoxSBMTimeErr,STFTBoxSBMFreqErr,SLTBoxPFID,SLTBoxPFMatchErr,SLTBoxPFTimeErr,SLTBoxPFFreqErr,CWTBoxPFID,CWTBoxPFMatchErr,CWTBoxPFTimeErr,CWTBoxPFFreqErr,STFTBoxPFID,STFTBoxPFMatchErr,STFTBoxPFTimeErr,STFTBoxPFFreqErr,SLTBoxOEID,SLTBoxOEMatchErr,SLTBoxOETimeErr,SLTBoxOEFreqErr,CWTBoxOEID,CWTBoxOEMatchErr,CWTBoxOETimeErr,CWTBoxOEFreqErr,STFTBoxOEID,STFTBoxOEMatchErr,STFTBoxOETimeErr,STFTBoxOEFreqErr
1,1.065566,74,10,0.1,25,0.105637245,0.03340543,54,0.79243076,0.049804688,2.4822695,31,0.7452354,0.020507812,11.914894,20,0.7244618,0.16000001,0.9929078,16,0.8847323,0.11035156,2.4822695,12,0.92983377,0.044921875,0.9929078,13,0.9197627,0.016,1.4893618,54,0.7577296,0.049804688,2.4822695,25,0.6242287,0.045898438,0,20,0.70240176,0.16000001,0.9929078,16,0.6711111,0.11035156,2.4822695,12,0.9130435,0.044921875,0.9929078,13,0.7051473,0.016,1.4893618,5,0.6968056,0.051757812,2.9787235,15,0.7429265,0.068359375,21.347519,4,0.67750466,0.15400001,0
2,0.5266904,38,10,0.1,58,0.107682265,0.034052122,2,0.6709037,0.03515625,2.9787235,1,0.43473107,0.03515625,2.4822695,2,0.41582257,0.034,1.9858156,1,0.8925721,0.03515625,2.9787235,1,0.89935637,0.03515625,2.4822695,1,0.6861329,0.034,1.9858156,2,0.6258105,0.03515625,2.9787235,1,0.3536253,0.03515625,2.4822695,2,0.32914436,0.034,1.9858156,1,0.8886175,0.03515625,2.9787235,1,0.8979747,0.03515625,2.4822695,1,0.6499833,0.034,1.9858156,7,0.7479238,0.03515625,2.9787235,9,0.72501445,0.03515625,3.9716313,8,0.6690798,0.034,3.4751773
3,0.9759613,82,10,0.1,38,0.110570125,0.034965344,52,0.6008127,0.015625,0.9929078,29,0.5030192,0.018554688,2.9787235,28,0.45881546,0.002,0.4964539,28,0.60508406,0.015625,0.9929078,18,0.5899786,1.1757812,51.631207,13,0.7171439,1.2040001,51.631207,52,0.6120095,0.015625,0.9929078,29,0.36194998,0.018554688,2.9787235,28,0.4861058,0.002,0.4964539,28,0.5513209,0.015625,0.9929078,18,0.5071685,1.1757812,51.631207,13,0.59555554,1.2040001,51.631207,2,0.70295835,0.0146484375,0.4964539,2,0.49853373,0.01953125,6.9503546,2,0.50939995,0.002,0.9929078
4,0.42443085,89,10,0.1,10,0.11851602,0.037478056,53,0.509434,0.036132812,5.957447,30,0.71900505,0.036132812,0.4964539,0,1,0.63900006,58.581562,24,0.9845781,0.036132812,5.957447,11,0.9093546,0.036132812,0.4964539,0,1,0.63900006,58.581562,53,0.5385469,0.036132812,5.957447,30,0.62805283,0.036132812,0.4964539,0,1,0.63900006,58.581562,24,0.98445886,0.036132812,5.957447,11,0.8954689,0.036132812,0.4964539,0,1,0.63900006,58.581562,8,0.62176627,0.03515625,4.964539,7,0.7827586,0.037109375,7.446809,8,0.7729525,0.029000001,7.446809
5,0.67948323,37,10,0.1,63,0.108209796,0.03421894,5,0.73743796,0.083984375,3.4751773,7,0.55677176,0.06347656,1.4893618,10,0.6026002,0.068,1.9858156,4,0.8131838,0.083984375,3.4751773,3,0.8310623,0.06347656,1.4893618,4,0.7978723,0.068,1.9858156,5,0.7026622,0.083984375,3.4751773,7,0.63624567,0.06347656,1.4893618,10,0.6482067,0.068,1.9858156,4,0.8256976,0.083984375,3.4751773,3,0.81697613,0.06347656,1.4893618,4,0.85081756,0.068,1.9858156,7,0.6467991,0.083984375,3.4751773,6,0.7215909,0.060546875,0.4964539,6,0.7176471,0.065000005,1.4893618
6,0.39703295,69,10,0.1,45,0.10957363,0.034650225,38,0.5963489,0.01171875,3.4751773,16,0.68352556,0.016601562,5.460993,20,0.45243198,0.028,3.4751773,13,0.75315404,0.01171875,3.4751773,11,0.61933076,0.0048828125,6.9503546,2,0.8533976,0.21000001,28.794327,38,0.5868715,0.01171875,3.4751773,16,0.6879518,0.016601562,5.460993,20,0.43313956,0.028,3.4751773,13,0.68292683,0.01171875,3.4751773,11,0.48019803,0.0048828125,6.9503546,2,0.87578976,0.21000001,28.794327,3,0.6191537,0.01171875,3.4751773,12,0.65411764,0.0048828125,25.319149,2,0.6038647,0.028,3.4751773
7,0.08229714,36,10,0.1,78,0.106207065,0.033585623,6,0.7318722,0.0087890625,1.9858156,2,0.40650988,0.024414062,1.9858156,7,0.3896153,0.025,1.4893618,1,0.8057763,0.17675781,1.4893618,2,0.82188296,0.024414062,1.9858156,2,0.56048304,0.025,1.4893618,6,0.72921383,0.0087890625,1.9858156,2,0.5415677,0.024414062,1.9858156,7,0.34756857,0.025,1.4893618,1,0.74455804,0.17675781,1.4893618,2,0.80984724,0.024414062,1.9858156,2,0.47732782,0.025,1.4893618,4,0.7526701,0.17675781,1.4893618,9,0.6392962,0.01953125,0.4964539,7,0.6105919,0.023000002,0.9929078
8,0.8340101,39,10,0.1,26,0.11281394,0.0356749,14,0.727906,0.032226562,7.446809,2,0.5775416,0.026367188,5.460993,3,0.69837177,0.047000002,3.4751773,9,0.8995377,0.032226562,7.446809,1,0.8563449,0,28.297873,2,0.6526863,0.008,5.460993,1,0.6607085,0.038085938,5.460993,2,0.6518648,0.026367188,5.460993,3,0.5784271,0.047000002,3.4751773,9,0.8707937,0.032226562,7.446809,1,0.7627239,0,28.297873,2,0.4532321,0.008,5.460993,12,0.7755511,0.034179688,6.453901,2,0.694165,0,27.801418,12,0.6831185,0.048,5.957447
9,0.14332533,59,10,0.1,13,0.11129539,0.03519469,32,0.68395585,0.076171875,1.9858156,26,0.8232614,0.022460938,14.893618,15,0.737972,0.083000004,1.9858156,0,1,0.34277344,29.290781,10,0.979442,0.06738281,2.4822695,0,1,0.351,28.794327,32,0.62693095,0.076171875,1.9858156,26,0.7218735,0.022460938,14.893618,15,0.68010414,0.083000004,1.9858156,0,1,0.34277344,29.290781,10,0.9721284,0.06738281,2.4822695,0,1,0.351,28.794327,0,1,0.34277344,29.290781,0,1,0.34277344,29.290781,0,1,0.351,28.794327
10,0.9388372,46,10,0.1,24,0.107138135,0.03388005,6,0.5751835,0.03515625,0,7,0.50398284,0.022460938,3.9716313,6,0.65642226,0.023000002,3.4751773,1,0.870877,0.26757812,3.9716313,3,0.72432435,1.1386719,16.382978,2,0.81479913,0.263,6.453901,6,0.6497506,0.03515625,0,7,0.41948217,0.022460938,3.9716313,6,0.663143,0.023000002,3.4751773,1,0.8427825,0.26757812,3.9716313,3,0.66020864,1.1386719,16.382978,2,0.77955157,0.263,6.453901,3,0.83137673,0.26757812,3.9716313,7,0.7228309,0.0234375,3.4751773,11,0.6750762,0.032,1.9858156
